GAMES,ROUNDS,NoHits4,NoOpen4,NoMisses4,NoHits5,NoOpen5,NoMisses5,NoHits3,NoOpen3,NoMisses3,NoHits2,NoOpen2,NoMisses2
390,79,0.00840373113070419,-0.0783301548911471,-0.100714118279537,0.0149930162474679,-0.0295689324076477,-0.0555083527704376,0.0476046939466105,-0.174570652534827,-0.281909144424892,0.143184142194315,-0.177390122730845,-0.390426130133862
400,93,0.00942509868492688,-0.0774087088532525,-0.0994125172503534,0.0159807295494569,-0.0311030428382355,-0.0582523224267632,0.0502814071408738,-0.17678760669337,-0.289127548258613,0.146718170901161,-0.184469121036343,-0.397420623864715
410,91,0.00940687318889381,-0.07925658163942,-0.100406709322412,0.0163629815535248,-0.0307332841106953,-0.058671624352735,0.054167431452113,-0.17242548627211,-0.290554753051494,0.150742910194652,-0.187052092647572,-0.405077691583893
420,81,0.00940687318889381,-0.07925658163942,-0.100406709322412,0.0169429397563993,-0.0311632338563961,-0.0597325631175417,0.0558954931879574,-0.180014078725769,-0.296807851025852,0.154475683979276,-0.178572928144149,-0.409153553124993
430,72,0.0101420179719174,-0.0801167627638921,-0.101365671919427,0.0176797077938012,-0.0306168589382186,-0.0601704892506984,0.0590611429139652,-0.177706163983148,-0.302722028437231,0.157741729668992,-0.176558451850657,-0.414667351150094
440,86,0.0106727951160109,-0.0817508713532418,-0.105791199759279,0.0179257915429498,-0.0294355874824931,-0.0604635436850195,0.059917031860697,-0.17765753303637,-0.302808605233462,0.162875884672391,-0.177446677557268,-0.422525853095464
450,76,0.0108697201461609,-0.0814130708423302,-0.106212057058699,0.0192298085454213,-0.028156942619392,-0.0612083795718354,0.0611844267185376,-0.180562195888416,-0.309235049240445,0.166550832646327,-0.180638284660157,-0.425719743008186
460,71,0.0117919948541105,-0.0854165253282331,-0.111486959656927,0.0194883190776288,-0.0286906322194709,-0.0610912105690654,0.0621333287172706,-0.180854693889226,-0.314228892051802,0.17108200355902,-0.181026468415808,-0.42985637510606
470,89,0.0122154247535972,-0.0861577746317058,-0.116751915340281,0.0199113217990408,-0.0283036177983491,-0.0616770225687093,0.0636321406640317,-0.185168638088276,-0.318565883676697,0.174503987074653,-0.182000956201399,-0.432341866719938
480,92,0.0127084512327248,-0.0897682074614927,-0.121808705845761,0.0201709154899376,-0.0274939426171811,-0.061709595004951,0.0652941046687356,-0.18884148150727,-0.324260672261362,0.178392289020209,-0.183496544819795,-0.437072812320009
490,86,0.0134195212827909,-0.0905977629885197,-0.123349172941887,0.020264250528807,-0.0273918978545871,-0.0621534019292294,0.0665803964087068,-0.190655193394338,-0.330869133944893,0.180870766699016,-0.183465230349897,-0.44090381430257
500,92,0.0137994648627483,-0.0900268480145639,-0.123301664176913,0.020264250528807,-0.0273918978545871,-0.0621534019292294,0.067844458721852,-0.193220820632498,-0.338088041790771,0.185805338421813,-0.17871019157605,-0.444936103516947
