GAMES,ROUNDS,NoHits4,NoOpen4,NoMisses4,NonHitSpaces14,NonHitSpaces24,NonHitSpaces34,NonHitSpaces44,NonHitSpaces54,NoHits5,NoOpen5,NoMisses5,NonHitSpaces15,NonHitSpaces25,NonHitSpaces35,NonHitSpaces45,NonHitSpaces55,NoHits3,NoOpen3,NoMisses3,NonHitSpaces13,NonHitSpaces23,NonHitSpaces33,NonHitSpaces43,NonHitSpaces53,NoHits2,NoOpen2,NoMisses2,NonHitSpaces12,NonHitSpaces22,NonHitSpaces32,NonHitSpaces42,NonHitSpaces52
250,84,0.00234332804829468,-0.0523912510110239,-0.0544716356355127,0.000159477524623202,-2.65546813296257E-05,-0.000603414205026917,-0.00110066187367064,-0.00155570778478047,0.0124748238828877,-0.00648175875868543,-0.0134250487274829,-5.0771352256325E-05,-0.000102331825486308,5.26609664441226E-05,0.000303691729461418,0.000159940778724894,0.0345153360058147,-0.160176229767555,-0.211738305644464,-0.000406647511518483,-0.00104202299157936,-0.00313648587966505,-0.00303223280309271,-0.00565018007105493,0.0920355073788918,-0.181897400502926,-0.289962009536857,0.000487125378893517,-0.00129093802812534,-0.00161516195108023,-0.0046052534930146,-0.00605902531417827
260,90,0.0022588402904355,-0.0529991485063171,-0.0555547026753514,0.000159477524623202,-2.65546813296257E-05,-0.00064811255796172,-0.00132205294485183,-0.00155570778478047,0.0125315468533978,-0.00685468391941194,-0.0143364415624121,-0.000149720887030299,-0.000102331825486308,5.26609664441226E-05,0.000303691729461418,0.000112812605447707,0.0369009974093932,-0.164114826838109,-0.219926873569848,-0.000493061096695782,-0.00109068423848671,-0.00311880517694435,-0.00297971828769407,-0.00585456507898175,0.0961408956900293,-0.182003453677997,-0.297650012845062,0.00056043770993083,-0.00147869577043677,-0.00170955516919906,-0.00452530095415491,-0.00640696468521667
270,79,0.00266028484160644,-0.0530173839961655,-0.0580778679291467,0.000159477524623202,-0.00016106533559263,-0.00064811255796172,-0.00132205294485183,-0.00155505449868668,0.012885735121969,-0.00614649413047553,-0.0141848941695212,-0.000149720887030299,-0.000102331825486308,5.26609664441226E-05,0.000303691729461418,0.000112812605447707,0.0387315545003103,-0.16410569845031,-0.225565173415954,-0.00049091153658635,-0.0010774671915964,-0.0033375724167346,-0.00311789438861738,-0.00602962645699739,0.101220409625485,-0.18147907241686,-0.303352931040555,0.00056043770993083,-0.00170521149142918,-0.00179040418863861,-0.00514216577934475,-0.00658125598180592
280,92,0.00328500454815515,-0.0521411675096188,-0.0584005779377978,0.000159477524623202,-0.00016106533559263,-0.000629793411539568,-0.0013526878306861,-0.00155505449868668,0.0131916425508043,-0.00600581996410362,-0.0146530888401172,-0.000149720887030299,-0.000102331825486308,5.26609664441226E-05,0.000303691729461418,0.000112812605447707,0.0400186552164318,-0.169425161127881,-0.23637198914093,-0.00053623982311006,-0.00111840446302412,-0.00336846035771134,-0.00321830121221064,-0.00646609987801274,0.106384987632741,-0.180555265099178,-0.311761705836963,0.000612246947767732,-0.00170521149142918,-0.00183298950352288,-0.00510258792245182,-0.00693614812377314
290,89,0.00328500454815515,-0.0521411675096188,-0.0584005779377978,0.000159477524623202,-0.00016106533559263,-0.000629793411539568,-0.0013526878306861,-0.00155505449868668,0.0138015970801344,-0.00622791770105892,-0.0151717569914379,-9.9432552610025E-05,-0.000102331825486308,0.000103147456518241,0.000506435266392309,-0.00017727922444101,0.0408378948911446,-0.169132530614137,-0.240589120292937,-0.000559449983804072,-0.00123384041446006,-0.00352812458568788,-0.00355843027906443,-0.00703195368144761,0.11258425537102,-0.17971092492806,-0.322651691387514,0.000645884066558696,-0.00179032544650504,-0.00185900310743593,-0.005720649304064,-0.00716294707023034
300,80,0.00449936070598627,-0.0550643241582315,-0.0637448924594688,0.00021221922407333,-0.000209776229301647,-0.000761257946597676,-0.00139420782321159,-0.00173853622784788,0.0136815355458171,-0.00967868350807444,-0.0184351684646972,-0.000149006584406473,-0.000102331825486308,5.37725352400403E-05,0.000556833384920147,-0.000513707111921713,0.0417606690658639,-0.169662264838149,-0.244026652451423,-0.000500241590073256,-0.00138366511602542,-0.00356610037270934,-0.00362780160607963,-0.00727975938329857,0.115311933665402,-0.17270346072937,-0.328999646632108,0.000538408921434444,-0.00181642049340263,-0.0017550555676356,-0.00590361963052569,-0.00729575930272605
310,85,0.0046982333895218,-0.0548264421966519,-0.0656178051693279,0.00021221922407333,-0.000209776229301647,-0.000761257946597676,-0.00139420782321159,-0.00184921955516921,0.0136815355458171,-0.00967868350807444,-0.0184351684646972,-0.000149006584406473,-0.000102331825486308,5.37725352400403E-05,0.000556833384920147,-0.000513707111921713,0.0445467041206367,-0.171431632134524,-0.249590097770083,-0.000545188534524488,-0.00142442143932297,-0.00360682715832286,-0.00371442651597223,-0.00763404088389236,0.119278829837955,-0.174382824669474,-0.336312765898305,0.000553268239683153,-0.00186971346780298,-0.00194729014734667,-0.00598675957765512,-0.00762297984569008
320,86,0.00473954579418081,-0.0549860328027081,-0.0660409602239299,0.00021221922407333,-0.000209776229301647,-0.000761257946597676,-0.00144115985049877,-0.0018958880644844,0.0139912016532238,-0.00954091607915934,-0.0185865553362109,-0.000149006584406473,-5.1115257577609E-05,5.37725352400403E-05,0.000506940799466075,-0.000513707111921713,0.0503070454022339,-0.173719850375164,-0.258747319096226,-0.000545188534524488,-0.00120492818271342,-0.003889287968038,-0.00376146947287421,-0.00779861918621637,0.122161525423179,-0.180452994275529,-0.339277191085173,0.000613511449281449,-0.00188347977824278,-0.0020154742789561,-0.00620195494422481,-0.00765104306904182
330,84,0.00588013406522569,-0.0568768546961853,-0.0691127963067268,0.000265264604395164,-0.000209776229301647,-0.000678774424554236,-0.00166434200842723,-0.00193788251122813,0.0139648238111339,-0.012313130005039,-0.0218595738429685,-0.000246043026309441,-4.96371656453328E-05,5.37725352400403E-05,0.000506940799466075,-0.000513707111921713,0.0530125393276775,-0.171735049945397,-0.262518554614559,-0.000539479236534913,-0.00117632031731162,-0.00398894436025888,-0.00353682478244444,-0.00786193289752775,0.126302996306361,-0.179138061983526,-0.347382846587552,0.000668981077638298,-0.00193366803878444,-0.00220664758248391,-0.00652309536258089,-0.00788797640024667
340,85,0.00621284460802545,-0.0582053985121902,-0.071354164266143,0.000265264604395164,-0.000209776229301647,-0.000665514036794038,-0.00166434200842723,-0.00186520245601633,0.0148895140991808,-0.0108346210160014,-0.0226269071752537,-0.000295885156518343,-4.86357689344124E-05,0.000104625948728866,0.000506940799466075,-0.000513707111921713,0.0553556860204257,-0.173336735721936,-0.268159455579336,-0.000486463160453706,-0.00121050815083357,-0.00391152848413454,-0.00365573516352542,-0.00816760675818128,0.12965803733992,-0.179683680601928,-0.35426523764673,0.000668981077638298,-0.00193366803878444,-0.00214549312970951,-0.00665054801041566,-0.00803329949404544
