GAMES,ROUNDS,HitSpacesInRow4,AdjMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoDiagHitsWithAdjHit4,HitSpacesInRow5,AdjMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoDiagHitsWithAdjHit5,HitSpacesInRow3,AdjMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoDiagHitsWithAdjHit3,HitSpacesInRow2,AdjMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52,NoDiagHitsWithAdjHit2
210,56,0.214546865162637,-0.390304820325808,-0.021766420424965,-0.0247289988150353,-0.0393924344216764,-0.0787865139674951,-0.0943725346841548,0.331795878205445,0.224660395160877,-0.45081558776156,0.0349117166290559,-0.0247115343597559,-0.052367351555235,-0.124995954944116,-0.0804427383729184,0.174096936519185,0.172645741486106,-0.521291076254184,-0.101024149101273,-0.123614879466092,-0.294628062213713,-0.351430980563778,-0.319778528241104,0.910758010821595,-0.217725377813914,-0.591030751083888,-0.145079082029507,-0.242594439810468,-0.343191197268261,-0.402419843887934,-0.381406080243823,1.3392094755964
220,57,0.214546865162637,-0.390304820325808,-0.021766420424965,-0.0247289988150353,-0.0393924344216764,-0.0787865139674951,-0.0943725346841548,0.331795878205445,0.254046126692816,-0.472317687407056,0.032139240049844,-0.0360651292701661,-0.055838390433339,-0.124334204787601,-0.088624473692323,0.190404026443236,0.0697011069192872,-0.543220259200764,-0.115450161993173,-0.117200319303487,-0.309251466183684,-0.368926857510139,-0.32950698236896,0.94037834154222,-0.265141481859269,-0.564870912249614,-0.145671389725775,-0.257646234796322,-0.328984189089128,-0.40671416141326,-0.44208481494849,1.34991411198507
230,58,0.214546865162637,-0.390304820325808,-0.021766420424965,-0.0247289988150353,-0.0393924344216764,-0.0787865139674951,-0.0943725346841548,0.331795878205445,0.268737667528621,-0.468780272006001,0.032139240049844,-0.0360651292701661,-0.055838390433339,-0.124334204787601,-0.088624473692323,0.190404026443236,0.0234590298079273,-0.566272700201707,-0.126766565867355,-0.151234440083343,-0.315321772181179,-0.382630954024712,-0.352599845656061,0.963686238349806,-0.242318231569187,-0.578656578834613,-0.146995251588921,-0.2389013052409,-0.350797756095732,-0.424061074179065,-0.440119098935129,1.32751387353114
240,64,0.171203160425818,-0.435485448791908,-0.0327561584434493,-0.0319240237307665,-0.0508008066961726,-0.0856781697791035,-0.103816634930626,0.338898250399297,0.224926951874253,-0.528191914268039,0.0276806448491459,-0.0469734743159476,-0.0778153975280151,-0.133224406206284,-0.0932319307589834,0.19594358755915,0.0133751473385928,-0.641533651930342,-0.129332002199797,-0.163955540383525,-0.29981604491145,-0.421276757090171,-0.39025042394006,0.972689512055125,-0.218027419494046,-0.632821338897319,-0.140509812631351,-0.246195665106753,-0.348836601037169,-0.454764930841169,-0.46452551638778,1.30830082955262
250,56,0.208185798805417,-0.420566935334592,-0.0327561584434493,-0.0319240237307665,-0.0508008066961726,-0.0856781697791035,-0.103816634930626,0.338898250399297,0.37577961239011,-0.403644646880693,0.0312051821729484,-0.0428181387423825,-0.0880651277700848,-0.108339856150481,-0.0847019505141814,0.217997899221228,0.017564442159663,-0.60061856978246,-0.148986426598355,-0.168664307791576,-0.302419042842641,-0.4135756129944,-0.386594328914993,0.975371623280082,-0.237912870767703,-0.611639386547862,-0.106237493188504,-0.247411569797372,-0.36930633958128,-0.463393130812057,-0.48682990139167,1.30962518068051
260,61,0.22579710961789,-0.429385088609674,-0.0382659101435409,-0.035683375350204,-0.0642900764957363,-0.117125097053752,-0.112028291459841,0.354354017325017,0.362178782212076,-0.421141324691585,0.0212617790652235,-0.0379994906070868,-0.0764919134427786,-0.108339856150481,-0.0823150940287931,0.219409609553307,-0.0538879510517072,-0.570195697581757,-0.138194485251383,-0.177353045879342,-0.311412557016496,-0.40505698881424,-0.390008148392214,0.997747801218272,-0.145719602140977,-0.658363736161026,-0.0761160516016336,-0.264864956654622,-0.362684191280426,-0.466134510417235,-0.503946698636446,1.31391216992565
270,58,0.199354463036676,-0.474134431375962,-0.042477768688718,-0.046842540888213,-0.0725237012484967,-0.110880823630503,-0.113504364231904,0.352171785424547,0.319144809379264,-0.459310827088714,0.00944075038668736,-0.0417800642421725,-0.0846490398482855,-0.104574198247935,-0.100763864103553,0.240107011385729,-0.0600118125555493,-0.614419991054376,-0.137178105668691,-0.187084955881782,-0.308812192763767,-0.410110260006645,-0.364303452992168,1.01634692238664,-0.223481038692329,-0.576053185568103,-0.0833376298913678,-0.285186472115565,-0.358564577672237,-0.466464848254987,-0.512739944813527,1.31927876471246
280,57,0.173686053364591,-0.508649345851923,-0.0523728402417125,-0.0558562665052562,-0.076559543011324,-0.107304989241904,-0.119428289216447,0.347433436267236,0.237426983442214,-0.483340513949034,0.0104235926610234,-0.048445310537131,-0.126803666650079,-0.115409322422091,-0.124752158048449,0.234209563011551,-0.0509701317566973,-0.59726183477555,-0.132259828752402,-0.165119032759286,-0.296492628582742,-0.426768325917543,-0.352840706513451,1.05608463770423,-0.165703607901903,-0.559612954311802,-0.0755519405316443,-0.291848115459364,-0.392070594646392,-0.476248379754219,-0.522232327500013,1.31853855479777
290,58,0.227696706991719,-0.46227820182996,-0.0474696882661167,-0.0574795980227487,-0.0842843035886495,-0.101895199755988,-0.122589491008222,0.371889581461203,0.260925471993393,-0.472402162244137,0.00536495925857642,-0.048445310537131,-0.136854367614672,-0.12143527939153,-0.128813094454959,0.249812462241503,-0.116659582114005,-0.671758199389885,-0.141433441754096,-0.176006970225285,-0.306566474735799,-0.443450265158787,-0.397615211615905,1.06958158314956,-0.157101567773899,-0.440767288577946,-0.076850855689783,-0.296799266233004,-0.384222902067997,-0.47593819022364,-0.507076252928803,1.28563461823155
300,59,0.275667699796244,-0.417379561144042,-0.0395841494643386,-0.0726939253529848,-0.0927766295778079,-0.109090424750005,-0.118022082250875,0.403340450951625,0.287872941663902,-0.446419654695258,0.00536495925857642,-0.048445310537131,-0.136854367614672,-0.12143527939153,-0.122557560480623,0.256053332012237,-0.0330085788618797,-0.679579569798164,-0.158039504001523,-0.196165322070284,-0.315027909574181,-0.426313362305674,-0.416674299508914,1.13055694328425,-0.265225537267572,-0.532343331953905,-0.0805288167251472,-0.292808958796689,-0.38888352777555,-0.496022951311749,-0.494429168128656,1.21716615592976
