GAMES,ROUNDS,NoHits4,NoMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoHits5,NoMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoHits3,NoMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoHits2,NoMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52
210,85,0.00310413980905498,-0.0527811339621413,-0.00189889528702788,-0.00206350478645049,-0.00298889025265037,-0.00238146620633863,-0.00253229645002109,0.00623403320207459,-0.0276145662741553,-0.000502332271189793,-0.00138619042949119,-0.00202723457092821,-0.00182779351368591,-0.00205288851174151,0.0129630883685133,-0.126520471534112,-0.00508665806832626,-0.00768704156768148,-0.0104211116188515,-0.0129080802536966,-0.0114595856679841,0.00345174190083664,-0.230918597111975,-0.0082793271676039,-0.0139109759632581,-0.0179887843589979,-0.018078144471026,-0.019138861950188
220,77,0.00310413980905498,-0.0527811339621413,-0.00189889528702788,-0.00206350478645049,-0.00298889025265037,-0.00238146620633863,-0.00253229645002109,0.00687768150396736,-0.0273469127313842,-0.000499526525033235,-0.00143546430765938,-0.00197531118820564,-0.001972733762568,-0.00200264082243057,0.0117536949495279,-0.130441500696819,-0.00532544694550779,-0.00843653639853927,-0.0108090189025339,-0.0133851233931336,-0.01190095813228,0.00550505675950732,-0.234844749136349,-0.00811341096089517,-0.0148547005765907,-0.0187855377313122,-0.0189604010742968,-0.0198832847227392
230,81,0.00452335827572516,-0.0552797838812627,-0.0021312543213789,-0.00207758858703004,-0.00315958560906894,-0.00272621372607139,-0.00279416224584358,0.00689305160407516,-0.031476741856003,-0.00059513406412818,-0.00172237373441362,-0.00211771524016194,-0.00225774707090842,-0.00224080139717752,0.0115985534438593,-0.134229291735728,-0.00559301317051755,-0.00879426552425165,-0.0109970403327825,-0.0140464496004836,-0.0123087700811069,0.00458184653223275,-0.239284768790698,-0.0083817055394829,-0.0149329285880949,-0.0196443044660908,-0.0196250088939726,-0.0210422673724802
240,80,0.00465221848787684,-0.0570745979787807,-0.0022254666592547,-0.00226902191623491,-0.00319490927180709,-0.0029533248972106,-0.00288287081131716,0.00761147782588296,-0.033120515885734,-0.000679344515007157,-0.00170950613098013,-0.00225825743873147,-0.00239776238931789,-0.00233428104566776,0.0122322838855813,-0.138881920532706,-0.00550803427321721,-0.00973740695398628,-0.0115135987596189,-0.0153591546862029,-0.012986592491916,0.00502484804202976,-0.241895784375227,-0.00815978760333714,-0.0150866167354325,-0.0202091296968308,-0.020250037543446,-0.0213786918800367
250,76,0.00458614108813544,-0.0600893914745671,-0.00245766426938433,-0.00250307898079099,-0.00348294442962003,-0.00313847572369515,-0.00328536713171405,0.00761451691997866,-0.0341543164280624,-0.000679344515007157,-0.0017053123968654,-0.00229999807149788,-0.00258334186343801,-0.00238082259796657,0.0128664974098007,-0.144486247622871,-0.00580283009151697,-0.00963440693749532,-0.0121373718633839,-0.0159911274584842,-0.014006178002489,0.0032206046104435,-0.245458195221124,-0.00864248787100937,-0.0153653351086278,-0.020355183637465,-0.021194212451777,-0.0220284039237575
260,79,0.00436455946865799,-0.0646033006314928,-0.00278254258681547,-0.00291801014991351,-0.00381234477647129,-0.0035534874178588,-0.00346618906270402,0.00769830873845017,-0.0348228720681853,-0.000725843147340711,-0.00175176701043458,-0.0023470701481262,-0.00258334186343801,-0.00242724192874065,0.0136180127819694,-0.143276507865432,-0.00548383705200256,-0.00957071312515979,-0.0123314776067959,-0.0163742212749088,-0.0139784594010368,0.00243480193748199,-0.252378787172829,-0.00946688395083389,-0.0160049396289562,-0.0213572207212295,-0.0225280125434364,-0.0224726108136897
270,88,0.00424095431765834,-0.0657884170828978,-0.00295686108817639,-0.00300480393587383,-0.00385566060349626,-0.00352110577554688,-0.00350954744995108,0.00873552437002882,-0.035376839930128,-0.000701067980670557,-0.00173733002040817,-0.00247850846888971,-0.00272275802672254,-0.00234574889238138,0.0120441094704816,-0.150844107598945,-0.00573820591543008,-0.00997615972917566,-0.0132226733134294,-0.0172821783066781,-0.0145854416460008,0.00349171389627227,-0.259694925090245,-0.00966831832607858,-0.01687495352088,-0.0223234032645526,-0.0237320665690365,-0.0230079179958206
280,81,0.00457960610200034,-0.0646711503874602,-0.00289446047766555,-0.0029421923495992,-0.00379282966201503,-0.00352110577554688,-0.00350954744995108,0.00873552437002882,-0.035376839930128,-0.000701067980670557,-0.00173733002040817,-0.00247850846888971,-0.00272275802672254,-0.00234574889238138,0.0124012951108088,-0.160032592779227,-0.00591616416384411,-0.0109265490375478,-0.0140202053414806,-0.0184003362643006,-0.0153463173812029,0.00380364558729589,-0.265008609651353,-0.0099717155957987,-0.0172662700283001,-0.0225022587879321,-0.0245893392051997,-0.0234450376968963
290,80,0.00524026094923106,-0.064343504254352,-0.00283843851390677,-0.00293255124270328,-0.00376728958603307,-0.00359280290548336,-0.00355619379528471,0.00930226047354257,-0.0361120636896621,-0.000691082700159359,-0.0016806941200547,-0.00251034427406611,-0.00289753534259751,-0.00248474276720464,0.0125142273488337,-0.161548491071058,-0.00598878322435868,-0.0110338009557816,-0.0139228487697936,-0.0188990658184972,-0.0155841875812792,0.00318225282014637,-0.273488234906083,-0.0103849501914695,-0.0177095675337616,-0.0232483943931106,-0.0254954099316727,-0.024415881449227
300,85,0.00516153555727628,-0.0682267073419756,-0.00307362547844425,-0.00334908578389446,-0.0041668091433148,-0.0039211881785503,-0.00382468888103008,0.00929727588022823,-0.0380379252647797,-0.000737349877267788,-0.00172691830362064,-0.00255652946094763,-0.00294365583950875,-0.00262360082110932,0.0134658305179013,-0.162735442808775,-0.00611417953736996,-0.0110278102830306,-0.0142495781378397,-0.0190822474518715,-0.0158953892098894,0.00412065932540584,-0.279743435424383,-0.0106777389447528,-0.0181123444222119,-0.0240429485229839,-0.0263132014727193,-0.0249227155399549
